"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;2,0866405;-0,109569444444;0,0648418209877
0,1;2,081324;-0,108664305556;0,238459104938
0,15;2,0770365;-0,114905;0,623005509259
0,2;2,0646885;-0,0433513888889;0,90638279321
0,25;2,072406;0,0320133333333;0,180366126543
0,3;2,0746355;-0,018865;-0,631321141975
0,35;2,070348;-0,0697433333333;-0,649900308642
0,4;2,0694905;-0,139867777778;0,35284537037
0,45;2,0471955;-0,0459238888889;1,4750587963
0,5;2,061087;0,109664722222;0,76619212963
0,55;2,069662;0,0671708333333;-0,62941558642
0,6;2,069662;-0,0202941666667;-0,850565895062
0,65;2,0650315;-0,0671708333333;-0,0570608024691
0,7;2,059715;-0,039445;1,00962685185
0,75;2,0564565;0,0794616666667;1,02772962963
0,8;2,069319;0,142440277778;-0,544036111111
0,85;2,076865;0,0766033333333;-2,98383533951
0,9;2,0907565;-0,238670833333;-3,92274490741
0,95;2,044623;-0,423033333333;-2,92910354938
1;2,040164;-0,472863611111;-2,82186311728
1,05;2,004492;-0,6388375;-3,81074058642
1,1;1,9803105;-0,875888611111;-4,46704567901
1,15;1,9182275;-1,14885944444;-3,9189337963
1,2;1,858717;-1,29330055556;-2,7226683642
1,25;1,788745;-1,41220722222;-1,62358626543
1,3;1,7137995;-1,45012777778;-0,713630555556
1,35;1,6414265;-1,44679305556;-0,500472993827
1,4;1,572998;-1,49309805556;-0,508730401235
1,45;1,491021;-1,52272944444;-0,294037808642
1,5;1,414875;-1,47585277778;-0,861681635802
1,55;1,3515915;-1,56731944444;-1,93731481481
1,6;1,2654985;-1,77302416667;-1,10448117284
1,65;1,1622555;-1,75673166667;1,08981898148
1,7;1,082508;-1,60371555556;2,13464567901
1,75;1,0007025;-1,42249722222;0,849560185185
1,8;0,9523395;-1,47242277778;-1,43356003086
1,85;0,8583575;-1,63487138889;-2,40301141975
1,9;0,788214;-1,79103166667;-1,69239799383
1,95;0,6758815;-1,86382388889;0,24269367284
2;0,591332;-1,73767611111;1,64714104938
2,05;0,502152;-1,61248111111;1,6723367284
2,1;0,438011;-1,582945;2,00750277778
2,15;0,344715;-1,5563625;5,42098796296
2,2;0,2591365;-1,09578972222;11,6752330247
2,25;0,2401;-0,681045555556;27,6905276235
2,3;0,185906;0,841398055556;57,0657251543
2,35;0,2275805;4,25205666667;88,8711941358
2,4;0,222607;13,4000572222;51,2713541667
2,45;2,0814955;13,2764819444;-53,1469078086
2,5;2,058343;3,97184472222;-86,6965106173
2,55;2,057657;0,996224444444;-51,5824255247
2,6;2,07172;-0,201626833333;-24,3043765741
2,65;2,0441085;-0,474292777778;-9,62875634259
2,7;2,007579;-0,634740555556;-4,86037351852
