"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;2,1133945;-0,277067777778;1,79405938272
0,1;2,09573;-0,185124722222;1,66007765432
0,15;2,0914425;-0,0928386666667;1,32626666667
0,2;2,08887;-0,0425891666667;0,829318950617
0,25;2,0883555;-0,0156255555556;0,422990987654
0,3;2,088184;-0,01029;0,219636450617
0,35;2,087155;-0,00371583333333;0,199712808642
0,4;2,0866405;0,0181980555556;0,0439865740741
0,45;2,0904135;0,0129577777778;-0,287050771605
0,5;2,089899;-0,0252486111111;-0,337600925926
0,55;2,0866405;-0,0416363888889;-0,0125978395062
0,6;2,083725;-0,0221997222222;0,250421759259
0,65;2,084411;0,00114333333333;0,169541512346
0,7;2,0852685;0,00352527777778;-0,20108904321
0,75;2,084411;-0,00762222222222;-0,886189197531
0,8;2,084754;-0,0536413888889;-1,88877608025
0,85;2,089899;-0,230381666667;-2,53512993827
0,9;2,0581715;-0,408265277778;-1,95615864198
0,95;2,0197555;-0,158446944444;-5,50292685185
1;2,1037905;-0,915619444444;-9,30980339506
1,05;1,9237155;-1,59018611111;-4,57809722222
1,1;1,887529;-1,31330888889;-0,442194753086
1,15;1,8180715;-1,38724444444;-0,25809691358
1,2;1,747242;-1,38324277778;0,024137037037
1,25;1,676241;-1,3780025;-0,091837191358
1,3;1,611757;-1,38733972222;-0,189814506173
1,35;1,537669;-1,40782444444;-0,19807191358
1,4;1,467697;-1,38000333333;-0,640690123457
1,45;1,406643;-1,47023138889;-1,08966018519
1,5;1,318492;-1,52911305556;-0,797792592593
1,55;1,251264;-1,54426222222;-0,470566358025
1,6;1,1674005;-1,59742722222;0,23665941358
1,65;1,084566;-1,52530194444;0,873062037037
1,7;1,0140795;-1,44698361111;0,303830246914
1,75;0,9447935;-1,46127527778;-0,879678549383
1,8;0,872249;-1,56055472222;-1,55408641975
1,85;0,7901005;-1,68422527778;-0,908314814815
1,9;0,696976;-1,68193861111;0,427214969136
1,95;0,619115;-1,6112425;1,30255308642
2;0,5369665;-1,53959361111;1,8522
2,05;0,462021;-1,41201666667;2,02497037037
2,1;0,3963365;-1,31369;2,1308345679
2,15;0,3345965;-1,24804361111;4,28935262346
2,2;0,2745715;-1,15972111111;13,3339132716
2,25;0,1884785;-0,391115277778;34,1278118827
2,3;0,2070005;1,73281694444;61,5830563272
2,35;0,257593;5,73715138889;79,3216083333
2,4;0,5314785;13,1279438889;31,8717929012
2,45;2,0609155;11,5840627778;-60,7323845679
2,5;2,063831;3,13749722222;-84,3314197531
2,55;2,0183835;0,141868611111;-49,0952097222
2,6;1,9847695;-0,885606944444;-19,8561006173
2,65;1,928003;-1,03900416667;-3,21784814815
2,7;1,897133;-1,16629527778;8,67832345679
2,75;1,7803415;-0,617685833333;24,2982152778
2,8;1,696478;2,15022888889;22,3715927469
2,85;2,11288;2,86347833333;-1,26633694444
2,9;2,124199;1,29501555556;-14,4286814043
2,95;2,1243705;0,515452777778;-17,4387975309
