"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;2,0924715;-0,112618333333;0,0450346296296
0,1;2,0883555;-0,128053333333;0,455173703704
0,15;2,0766935;-0,0884368333333;0,706516481481
0,2;2,075493;-0,00571666666667;0,00427691358024
0,25;2,0787515;0,00343;-2,25169972222
0,3;2,090585;-0,260489444444;-3,6650079321
0,35;2,056971;-0,534413055556;-2,3237191358
0,4;2,017869;-0,550229166667;-0,291602932099
0,45;1,976709;-0,211326111111;-3,08911728395
0,5;2,074121;-0,936485277778;-5,09815509259
0,55;1,860089;-1,40125027778;2,41126882716
0,6;1,794576;0,255916111111;-5,17903533951
0,65;2,0907565;-1,42021055556;-19,703232716
0,7;1,669381;-3,31490444444;-7,5289558642
0,75;1,5755705;-2,22768972222;6,42336311728
0,8;1,4980525;-1,78560083333;6,26207901235
0,85;1,4195055;-1,5615075;3,38791898148
0,9;1,340444;-1,52187194444;0,703785185185
0,95;1,268071;-1,52320583333;-0,359250154321
1;1,1996425;-1,70366194444;2,33996929012
1,05;1,0943415;-1,55140805556;8,14466203704
1,1;0,9989875;-0,826439444444;10,2024503086
1,15;0,940849;0,817959722222;-9,77258873457
1,2;1,3354705;-1,77997944444;-28,5810572531
1,25;0,7544285;-4,25415277778;-9,03598564815
1,3;0,663362;-2,6042275;11,6832257716
1,35;0,5750395;-2,01493444444;16,746445679
1,4;0,4879175;-1,17429861111;20,8443429012
1,45;0,4103995;-0,122241388889;22,0949166667
1,5;0,319676;3,09852861111;-9,38994259259
1,55;1,153509;-0,876841388889;-41,0884887346
1,6;0,2220925;-4,70310166667;-9,03460941358
1,65;0,2618805;-1,53902194444;23,4957646605
1,7;0,2334115;-0,668564166667;33,5063890432
1,75;0,2282665;0,876365;54,2281941358
1,8;0,223293;3,82044833333;78,792975463
1,85;0,249018;12,1255263889;41,3274771605
1,9;1,9292035;11,5128902778;-55,8558667593
1,95;1,864548;2,50151805556;-80,7315394753
2;1,79732;-0,386541944444;-31,0320675
2,05;1,689618;-0,427149333333;23,6255224074
2,1;1,591177;3,25659444444;60,4785381019
2,15;2,141692;7,39469888889;76,099695
