"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,986313;-0,00952777777778;-1,09600145062
0,1;1,9895715;-0,0835109722222;-0,619871929012
0,15;1,9755085;-0,090209;-0,0518152314815
0,2;1,980825;-0,0880366666667;0,456576404321
0,25;1,9655615;-0,0599297222222;1,13819362654
0,3;1,968477;0,0726969444444;0,931911944444
0,35;1,9806535;0,0711725;0,0313358024691
0,4;1,977395;0,0344905555556;-0,237400462963
0,45;1,980825;0,0397308333333;-0,387092438272
0,5;1,982883;0,0132436111111;-0,789905709877
0,55;1,982883;-0,0259155555556;-1,46992438272
0,6;1,983912;-0,141582777778;-2,09611111111
0,65;1,966419;-0,231620277778;-2,79867885802
0,7;1,964704;-0,4038825;-3,73764135802
0,75;1,928689;-0,630548333333;-4,07391898148
0,8;1,9014205;-0,8497825;-3,52956527778
0,85;1,842939;-1,03871833333;-1,8650095679
0,9;1,7889165;-1,04024277778;-0,300442592593
0,95;1,735923;-1,00222694444;-0,170811882716
1;1,685845;-0,931721388889;-2,16460524691
1,05;1,6661225;-1,25395083333;-3,43619305556
1,1;1,555505;-1,48823888889;-0,997505401235
1,15;1,4942795;-1,32550444444;1,08082052469
1,2;1,4297955;-1,24690027778;0,785088888889
1,25;1,3718285;-1,2082175;-0,519528549383
1,3;1,3142045;-1,29549194444;-1,88808796296
1,35;1,2476625;-1,47461416667;-1,63671342593
1,4;1,1608835;-1,53873611111;0,186903240741
1,45;1,086624;-1,45098527778;1,87490787037
1,5;1,0109925;-1,27548361111;2,00713225309
1,55;0,961086;-1,14447666667;0,128942592593
1,6;0,9111795;-1,28034277778;-1,50443611111
1,65;0,830746;-1,39553361111;-1,28148611111
1,7;0,7667765;-1,42926194444;-0,440924382716
1,75;0,687715;-1,43812277778;0,477341666667
1,8;0,618772;-1,36094777778;0,890053240741
1,85;0,552916;-1,31302305556;0,539854475309
1,9;0,488089;-1,28348694444;-0,109251851852
1,95;0,4302935;-1,35666027778;0,256138425926
2;0,3517465;-1,39905888889;4,02998533951
2,05;0,2821175;-1,12770777778;10,9584265432
2,1;0,2162615;-0,415696944444;18,938416821
2,15;0,1836765;1,27700805556;17,5111557099
2,2;0,417431;1,69041833333;9,44626234568
2,25;0,3709545;1,82161583333;7,22729583333
2,3;0,5733245;2,31801305556;4,87705771605
2,35;0,5681795;2,77296444444;-0,851359876543
2,4;0,9386195;2,45721388889;-5,68433574074
2,45;1,0175095;-0,806812222222;35,2826261883
2,5;0,181447;6,79044722222;57,7431342747
2,55;1,925602;10,390499;-11,1473888426
2,6;1,8633475;3,97503652778;-55,242595463
2,65;1,843968;1,38133722222;-61,977654537
