"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,983226;0,0268683333333;-0,450886203704
0,1;1,9861415;-0,00300125;-0,23193787037
0,15;1,9827115;-0,0135485;0,0901168981481
0,2;1,9827115;0,0111475;0,29670029321
0,25;1,9840835;0,0329661111111;0,15991316358
0,3;1,9864845;0,0406836111111;-0,253851759259
0,35;1,9899145;0,0112427777778;-0,683882716049
0,4;1,9899145;-0,0553563888889;-0,570872685185
0,45;1,981854;-0,07546;0,0810919753086
0,5;1,978767;-0,0302030555556;0,452357716049
0,55;1,980139;-0,00161972222222;0,30525941358
0,6;1,9803105;-0,00114333333333;0,120685185185
0,65;1,979796;-0,001715;0,122326080247
0,7;1,9792815;0,0113380555556;0,139529012346
0,75;1,9813395;0,0180075;0,0620364197531
0,8;1,9813395;0,0187697222222;-0,0380052469136
0,85;1,983569;0,0122908333333;-0,0892964506173
0,9;1,982883;0,00161972222222;0,0151915123457
0,95;1,9827115;0,0104805555556;0,160701851852
1;1,9833975;0,0275352777778;0,100941512346
1,05;1,9857985;0,0353480555556;-0,232848302469
1,1;1,9888855;0,00562138888889;-0,571349074074
1,15;1,987342;-0,0418269444444;-0,525986265432
1,2;1,983226;-0,0633597222222;-0,151491666667
1,25;1,979453;-0,0506877777778;0,0883436728395
1,3;1,978081;-0,0403025;-0,0137094135802
1,35;1,9751655;-0,0198177777778;-0,873697222222
1,4;1,980482;-0,1089025;-2,23669876543
1,45;1,961617;-0,207705555556;-3,75659104938
1,5;1,979453;-0,547561388889;-4,41062006173
1,55;1,901249;-0,863978888889;-2,26671126543
1,6;1,8352215;-0,321753055556;-7,23655895062
1,65;1,9686485;-1,41392222222;-14,2428632716
1,7;1,702309;-2,60260777778;-6,71025509259
1,75;1,607298;-2,1188825;1,83594984568
1,8;1,5124585;-1,89231194444;1,88713518519
1,85;1,4369985;-1,88611888889;0,152709104938
1,9;1,3248375;-1,99311583333;-0,33828904321
1,95;1,227597;-1,94042722222;-0,219403549383
2;1,134987;-1,95586222222;-0,943885185185
2,05;1,0367175;-2,04837694444;-1,41773333333
2,1;0,929187;-2,13574666667;-1,19907083333
2,15;0,8213135;-2,18567222222;-0,549170524691
2,2;0,7088095;-2,19034083333;0,355809567901
2,25;0,6004215;-2,15966138889;2,01570725309
2,3;0,4930625;-2,11916833333;7,44632885802
2,35;0,3905055;-1,69175222222;16,0420253086
2,4;0,2759435;-0,629786111111;22,7675248457
2,45;0,1946525;2,32487305556;0,961458641975
2,5;0,8350335;-0,172738611111;-23,6750986111
2,55;0,2035705;-3,16703333333;9,68832083333
2,6;0,206829;-0,0761269444444;59,8633983025
2,65;0,2066575;3,45925027778;90,6317157407
2,7;0,193109;12,5365547222;51,1062060185
2,75;1,9556145;12,3145575;-53,8535830864
2,8;1,929032;3,00544222222;-84,5731024228
2,85;1,862147;-0,118335;-38,2892117438
2,9;1,783257;-0,499808166667;11,1567578241
2,95;1,687217;2,23278708333;43,8262533333
3;2,0972735;5,40853833333;57,5929712037
