"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,926631;-0,0104805555556;-0,219445895062
0,1;1,9264595;-0,0205323611111;-0,202475864198
0,15;1,925602;-0,037044;-0,101137361111
0,2;1,921829;-0,0378252777778;0,120139984568
0,25;1,9209715;-0,0211516666667;0,275770941358
0,3;1,9199425;-0,00581194444445;0,319064104938
0,35;1,919771;0,0185791666667;0,186003395062
0,4;1,922858;0,0208658333333;-0,0980831790123
0,45;1,922858;0,00362055555556;-0,27995787037
0,5;1,9233725;-0,0174358333333;-0,266142592593
0,55;1,920457;-0,0282022222222;-0,139158487654
0,6;1,919771;-0,0246769444444;-0,14275787037
0,65;1,9192565;-0,0374441666667;-0,354697993827
0,7;1,915312;-0,0412552777778;-1,17429861111
0,75;1,9134255;-0,0987077777778;-2,48780864198
0,8;1,9171985;-0,295170555556;-2,97764228395
0,85;1,906394;-0,779086388889;2,3582837963
0,9;1,763706;0,00743166666667;4,90220046296
0,95;1,906051;0,580146388889;-7,46591373457
1;1,9165125;-0,556326944444;-20,3880682099
1,05;1,9319475;-2,72437277778;-11,8585898148
1,1;1,509543;-2,82412861111;13,8968990741
1,15;1,434426;0,757744166667;5,08322824074
1,2;1,9374355;-1,46060833333;-19,4719194444
1,25;1,237544;-3,03164361111;-13,9604175926
1,3;1,51263;-2,75638611111;-7,34305833333
1,35;1,0655295;-3,87256527778;3,13114537037
1,4;0,9825235;-2,39995194444;11,0315787037
1,45;0,8857975;-2,073435;6,20364197531
1,5;0,793016;-1,90708;3,2369037037
1,55;0,6940605;-1,91489277778;4,21387145062
1,6;0,6004215;-1,89869555556;17,7558078704
1,65;0,5047245;-0,976787777778;46,0341993827
1,7;0,412286;1,819615;80,4251367284
1,75;0,3143595;10,2639891667;53,661291358
1,8;1,8671205;10,9530380556;-38,318975463
1,85;1,8825555;3,12816;-73,7336725309
1,9;1,8485985;0,175978055556;-45,0772399691
1,95;1,7974915;-0,797570277778;-16,7935552469
2;1,760276;-0,722777222222;-0,899792746914
2,05;1,7172295;-0,516024444444;5,70030006173
2,1;1,7223745;-0,254010555556;12,6256235648
2,15;1,6825865;0,264586388889;24,7669660648
2,2;1,605583;3,03114816667;21,8961513426
2,25;2,1161385;3,64127847222;-0,875560432099
2,3;2,090928;1,81942444444;-20,5300215123
