"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,9003915;0,0207705555556;0,468777253086
0,1;1,901249;0,0371106944444;0,553156311728
0,15;1,901249;0,0804335;0,419809768519
0,2;1,908795;0,11662;-0,288072361111
0,25;1,91737;0,0709819444444;-1,21749649691
0,3;1,9220005;-0,0713630555556;-0,928863055556
0,35;1,902964;-0,0872744444444;0,4802
0,4;1,905022;0,0405883333333;0,797422067901
0,45;1,9137685;0,0608825;-0,124708024691
0,5;1,915312;0,00371583333333;-0,730939351852
0,55;1,913254;-0,0523075;-0,597338734568
0,6;1,908109;-0,0688858333333;-0,126084259259
0,65;1,905022;-0,0558327777778;0,213686882716
0,7;1,901935;-0,0310605555556;0,290544290123
0,75;1,903993;-0,0300125;0,336277623457
0,8;1,898162;-0,0189602777778;0,497455864198
0,85;1,896447;0,0885130555556;-1,07526265432
0,9;1,9137685;-0,00552611111111;-4,96180200617
0,95;1,903307;-0,303745555556;-9,68853256173
1;1,922858;-1,26624166667;-7,70590787037
1,05;1,758218;-1,68908444444;5,02547932099
1,1;1,6843015;-0,779086388889;15,1567359568
1,15;1,611414;1,00660972222;3,19911018519
1,2;1,896104;0,724873333333;-27,7482236111
1,25;1,9024495;-3,25621333333;-32,0025881173
1,3;1,3958385;-4,34209416667;-2,75342191358
1,35;1,3090595;-2,58145611111;12,7095791667
1,4;1,2325705;-2,01684;9,17985509259
1,45;1,126755;-1,79722472222;4,4332220679
1,5;1,0459785;-1,7021375;1,15233179012
1,55;0,962458;-1,71042666667;-0,675995833333
1,6;0,8799665;-1,80770527778;-1,47145941358
1,65;0,781697;-1,91584555556;-1,06695231481
1,7;0,6830845;-1,92766;0,323520987654
1,75;0,5884165;-1,92051416667;4,51976604938
1,8;0,491519;-1,91279666667;21,9839709877
1,85;0,397537;-0,770797222222;56,8732111111
1,9;0,2996105;2,75895861111;95,8384345679
1,95;0,2070005;13,2479938889;47,5866978395
2;2,167074;12,8927983333;-87,4681335802
2,05;2,2427055;0,00276305555556;-134,977465864
2,1;1,995231;-9,78197888889;-19,8970065432
2,15;0,1963675;-1,38354766667;91,4824827778
2,2;1,88307;7,76713972222;71,2441330093
2,25;1,8684925;5,28715444444;14,1793024074
