"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,9909435;0,0537366666667;-0,296186851852
0,1;1,994202;0,0388733333333;-0,308430046296
0,15;1,9950595;0,0265253333333;-0,343317592593
0,2;1,997632;0,0025725;-0,339379444444
0,25;1,9950595;-0,0166736111111;-0,172304567901
0,3;1,9947165;-0,0129577777778;-0,0359091358025
0,35;1,9940305;-0,0128625;-0,0301712962963
0,4;1,993516;-0,0133388888889;-0,0739461419753
0,45;1,9933445;-0,0246769444444;-0,0402283950617
0,5;1,990429;-0,0242958333333;0,115180246914
0,55;1,990086;-0,0094325;0,193890277778
0,6;1,9899145;0,00295361111111;0,0213316358025
0,65;1,990429;0,00838444444444;-0,641219444444
0,7;1,9899145;-0,00876555555555;-2,1866779321
0,75;1,9971175;-0,193223333333;-3,29841080247
0,8;1,9844265;-0,521645833333;-0,804038580247
0,85;1,9305755;-0,557184444444;5,93786990741
0,9;1,871065;0,378443333333;6,68701790123
0,95;2,006893;0,675138333333;-3,75251527778
1;1,9779095;-0,0264872222222;-13,5107594136
1,05;2,011009;-0,732971944444;-21,3879555556
1,1;1,9967745;-3,10443583333;-13,8216296296
1,15;1,468726;-1,75492138889;-10,1960455247
1,2;1,9964315;-3,12816;-20,9587291667
1,25;1,2438895;-5,70123166667;-1,4018537037
1,3;1,1234965;-3,2610725;17,2084899691
1,35;1,0236835;-2,47198194444;10,8435638889
1,4;0,9261;-2,28037833333;3,72626095679
1,45;0,791644;-2,38623194444;0,294196604938
1,5;0,680169;-2,38099166667;1,82711018519
1,55;0,5575465;-2,40595444444;11,0443882716
1,6;0,440069;-2,02408111111;37,3830830247
1,65;0,302869;0,225427222222;78,103270216
1,7;0,222607;6,55234805556;93,1768498457
1,75;0,8130815;14,4208633333;16,4029692901
1,8;2,276491;10,5365788889;-96,8327640432
1,85;2,2505945;-0,128529722222;-116,789700309
1,9;2,0694905;-7,29494305556;-24,2128463889
1,95;0,7904435;-1,58713722222;56,8278694753
2;1,922172;4,83858666667;25,0435627469
2,05;1,8865;1,059184;-18,5623660185
2,1;1,837794;0,0618352777778;-22,276537284
2,15;1,7906315;-0,937342777778;-23,0645691975
