"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,950984;0,363389444444;-4,94677987654
0,1;1,9779095;0,126243055556;-4,50517266975
0,15;1,9820255;-0,203056;-2,56516361111
0,2;1,9425805;-0,255058611111;1,13824126543
0,25;1,938636;0,00504972222222;2,86704595679
0,3;1,9422375;0,271255833333;0,0718923765432
0,35;1,9894;0,104233888889;-4,54273858025
0,4;1,9679625;-0,371773888889;-5,83682253086
0,45;1,937264;-0,616161388889;-4,33794429012
0,5;1,9027925;-0,781087222222;-2,83250246914
0,55;1,857002;-0,860644166667;-2,10653873457
0,6;1,816871;-0,958589722222;-2,23135262346
0,65;1,7590755;-1,03347805556;-3,10991959877
0,7;1,726662;-1,31407111111;-3,08842916667
0,75;1,6215325;-1,47813944444;-0,75115941358
0,8;1,5608215;-1,32712416667;0,504072376543
0,85;1,4977095;-1,31226083333;-0,325056018519
0,9;1,4328825;-1,35685083333;-1,38083966049
0,95;1,3659975;-1,49071611111;-1,67064290123
1;1,2826485;-1,59390194444;-0,524610030864
1,05;1,199128;-1,55722;1,04376805556
1,1;1,125383;-1,46594388889;2,65459768519
1,15;1,05301;-1,33074472222;5,4152183642
1,2;0,9842385;-1,109605;13,2509686728
1,25;0,9375905;-0,203608611111;22,1248233025
1,3;0,942221;0,885606944444;27,0786854938
1,35;0,7901005;5,09564611111;-12,1861865741
1,4;1,9257735;1,12265805556;-69,696541358
1,45;1,1499075;-6,9791925;-33,1240604938
1,5;0,667478;-4,85144916667;53,227195216
1,55;0,544341;0,227332777778;102,715690432
1,6;0,4416125;9,63420305556;69,1050780864
1,65;1,9600735;10,511235;-28,7089412037
1,7;1,937264;3,16874833333;-64,8252003086
1,75;1,9405225;0,794235555556;-38,8629057099
1,8;1,938293;-0,0391591666667;-14,9268518519
1,85;1,9340055;0,0150538888889;-2,66068487654
1,9;1,9401795;0,0406836111111;-0,446111728395
1,95;1,9394935;0,0397308333333;-0,859035030864
2;1,9504695;-0,0755552777778;-1,20372885802
2,05;1,9278315;-0,121669722222;-0,882589814815
2,1;1,9357205;-0,129101388889;-1,29977944444
2,15;1,916341;-0,189698055556;-2,80105021605
2,2;1,9233725;-0,377776388889;-4,64989432099
2,25;1,8918165;-0,780953833333;-4,20664092593
2,3;1,82819;-0,901518333333;-1,9684441821
2,35;1,791146;-0,852926666667;-0,281937530864
