"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,9624745;-0,022295;-0,187263179012
0,1;1,9624745;-0,0387304166667;0,0402972067901
0,15;1,9583585;-0,0410456666667;0,401071805556
0,2;1,954757;0,0133388888889;0,551589521605
0,25;1,961274;0,0435419444444;0,170012608025
0,3;1,9617885;0,0242005555556;-0,156742530864
0,35;1,962303;0,0204847222222;-0,332201851852
0,4;1,965733;-0,0150538888889;-0,340141666667
0,45;1,9597305;-0,0304888888889;-0,0192143518519
0,5;1,9607595;-0,00924194444444;0,180604320988
0,55;1,9604165;-0,00962305555556;0,272388580247
0,6;1,9573295;0,0276305555556;0,125078549383
0,65;1,964704;0,0297266666667;-0,450028703704
0,7;1,964361;-0,0372536111111;-0,583841049383
0,75;1,9600735;-0,07546;0,0465273148148
0,8;1,952013;-0,0378252777778;0,625286882716
0,85;1,950984;0,0825105555556;-0,54964691358
0,9;1,9737935;-0,0418269444444;-2,74463518519
0,95;1,9501265;-0,252771944444;-3,94259444444
1;1,9466965;-0,458667222222;-4,56317037037
1,05;1,908452;-0,735735;-4,49282361111
1,1;1,8684925;-0,928196111111;-3,95032253086
1,15;1,8163565;-1,12542111111;-3,39421790123
1,2;1,7546165;-1,28520194444;-2,4522382716
1,25;1,684473;-1,37657333333;-1,28836728395
1,3;1,6177595;-1,43269194444;0,00142916666665
1,35;1,534239;-1,37590638889;0,774661265432
1,4;1,468726;-1,16839138889;-1,74284228395
1,45;1,4472885;-1,47928277778;-5,2481117284
1,5;1,33084;-1,96138833333;-3,98197592593
1,55;1,2246815;-1,99721277778;-0,323415123457
1,6;1,124697;-1,87840138889;1,63734861111
1,65;1,03929;-1,75206305556;1,94970092593
1,7;0,9530255;-1,67908027778;1,63856604938
1,75;0,868133;-1,58532694444;0,962834876543
1,8;0,7918155;-1,48147416667;-1,29530138889
1,85;0,7413945;-1,73920055556;-2,90549583333
1,9;0,615685;-1,96234111111;-1,12274274691
1,95;0,5253045;-1,84896055556;0,960188271605
2;0,4361245;-1,79026944444;2,16656373457
2,05;0,347802;-1,69203805556;4,44888996914
2,1;0,2605085;-1,44326777778;8,0765807716
2,15;0,1819615;-0,808908333333;9,97504871914
2,2;0,1805895;-0,197510833333;7,18101729938
2,25;0,186592;-0,0375585;3,22974199074
2,3;0,1829905;-0,0104329166667;1,24553462963
2,35;0,183162;-0,00686;0,349891759259
;;;
;;;
;;;
;;;
;;;
;;;
;;;
