"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,9899145;-0,00114333333333;0,890974259259
0,1;1,987342;0,049735;0,72199912037
0,15;1,994888;0,0845495;0,390861203704
0,2;1,9971175;0,08575;0,0423139197531
0,25;2,0005475;0,119383055556;-0,810083425926
0,3;2,01684;0,01372;-1,62842425926
0,35;2,004835;-0,130435277778;-0,839238425926
0,4;1,994888;-0,115190833333;0,735914969136
0,45;1,987685;0,00457333333333;1,2391404321
0,5;1,9984895;0,0797475;0,411388271605
0,55;2,0026055;0,03087;-0,319604012346
0,6;1,999347;0,00581194444444;-0,402760339506
0,65;2,000719;0,0103852777778;-0,803244598765
0,7;2,0036345;-0,0424938888889;-1,80249675926
0,75;1,99969;-0,169308611111;-2,91168888889
0,8;1,987342;-0,330804444444;-4,0257507716
0,85;1,9713925;-0,58653;-4,72943009259
0,9;1,9292035;-0,849687222222;-4,51759583333
0,95;1,8832415;-1,05939361111;-3,84377021605
1;1,8204725;-1,21526805556;-3,34456759259
1,05;1,7642205;-1,39181777778;-2,82281589506
1,1;1,6805285;-1,5435;-1,5605970679
1,15;1,601124;-1,53349583333;-0,612847839506
1,2;1,52978;-1,55436166667;-0,727922222222
1,25;1,4448875;-1,576085;-1,55668009259
1,3;1,3749155;-1,6678375;-3,01046018519
1,35;1,289337;-1,94576277778;-2,82329228395
1,4;1,172717;-2,08744083333;0,462785339506
1,45;1,07016;-2,02598666667;7,42965524691
1,5;0,971376;-1,51015277778;15,1837313272
1,55;0,8707055;-0,494110555556;19,6526296296
1,6;0,796103;2,15499277778;1,3034
1,65;1,4959945;-1,12923222222;-1,42816095679
1,7;0,5832715;-2,38928083333;61,3320523148
1,75;0,4858595;8,6736125;54,8314612654
1,8;2,0087795;9,31445083333;-52,0581898148
1,85;2,0231855;0,199606944444;-97,6490299383
1,9;1,9974605;-8,46847944444;-6,40695416667
1,95;0,183505;-0,330328055556;87,208279321
2;1,9514985;8,90065944444;33,1670942901
2,05;1,971564;3,15188416667;-34,1344178086
2,1;1,9827115;1,11027194444;-31,8156795833
2,15;1,9960885;-0,1757875;-17,4373524846
2,2;1,9521845;-0,260565666667;-4,35900597222
2,25;1,959216;-0,165830972222;-0,809771126543
2,3;1,946868;-0,195891111111;-0,107356882716
