"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;2,067261;0,177026111111;-2,32919231481
0,1;2,083725;0,0294884722222;-1,46421300926
0,15;2,069662;-0,033957;-0,348065601852
0,2;2,0712055;0,0415411111111;-0,104853194444
0,25;2,0777225;0,0471625;-1,58935507716
0,3;2,084068;-0,110808055556;-3,26906524691
0,35;2,0684615;-0,320895555556;-4,04221265432
0,4;2,0564565;-0,5993925;-3,13950864198
0,45;1,9978035;-0,682951111111;-1,32626666667
0,5;1,981854;-0,646840833333;-0,97368595679
0,55;1,94138;-0,737354722222;-1,48193996914
0,6;1,907423;-0,821675555556;-1,67011358025
0,65;1,85906;-0,917048611111;-1,54582901235
0,7;1,8153275;-0,991079444444;-1,03011157407
0,75;1,759247;-1,03919472222;-0,240682253086
0,8;1,706425;-0,999178055556;0,12518441358
0,85;1,658748;-0,959733055556;-0,733109567901
0,9;1,617931;-1,05396277778;-1,87506666667
0,95;1,55722;-1,21822166667;-1,71192993827
1;1,490335;-1,28053333333;-0,47331882716
1,05;1,424136;-1,24385138889;0,47077808642
1,1;1,365826;-1,18916194444;0,596280092593
1,15;1,307859;-1,17544194444;0,424991820988
1,2;1,2476625;-1,15724388889;0,342629475309
1,25;1,191239;-1,13047083333;0,0743695987654
1,3;1,136702;-1,14295222222;-0,26884212963
1,35;1,078049;-1,1704875;-0,402283950617
1,4;1,019053;-1,198785;-0,2529625
1,45;0,9550835;-1,17458444444;-0,248833796296
1,5;0,9080925;-1,24651916667;0,383545987654
1,55;0,825944;-1,23823;3,19270540123
1,6;0,7774095;-0,958018055556;5,69152391975
1,65;0,7215005;-0,629595555556;5,84719722222
1,7;0,667135;0,316608055556;-5,36085709877
1,75;0,893515;-1,09693305556;-16,0986097222
1,8;0,564578;-2,61709;-2,19345324074
1,85;0,4862025;-1,70451944444;24,1568865741
1,9;0,431837;-0,307461388889;52,9182834877
1,95;0,382445;2,76267444444;84,695275
2;0,326879;11,4335238889;53,2992358025
2,05;1,986999;11,7993905556;-41,5730291667
2,1;1,9796245;3,6538075;-74,2543126543
2,15;1,982197;1,01985333333;-43,3998217593
2,2;1,9967745;0,106996944444;-16,5941600309
2,25;1,99283;0,1003275;-2,9027962963
2,3;1,990772;0,332328888889;-3,76225478395
2,35;2,050454;0,170070833333;-17,0574217593
2,4;2,0094655;-1,04986583333;-31,1892334877
2,45;2,0237;-2,90930694444;-36,1784013889
2,5;2,0420505;-9,12770638889;29,7176152778
2,55;0,190022;0,0542130555556;83,4293509259
2,6;2,0420505;8,25934472222;-25,392745216
2,65;2,0259295;-0,937533333333;-165,255494444
2,7;2,1003605;-13,275815;-233,194928318
2,75;0,192423;-27,246205;-266,850083025
