"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;2,0362195;0,0142916666667;-1,35182228395
0,1;2,0410215;-0,0631691666667;-1,0576733179
0,15;2,031589;-0,126795666667;-0,654240740741
0,2;2,0197555;-0,0819388888889;-0,822130771605
0,25;2,0321035;-0,1517775;-1,93962265432
0,3;2,015811;-0,411123611111;-1,19214731481
0,35;1,9597305;-0,196843888889;-1,73098549383
0,4;2,018898;-0,381682777778;-5,27208996914
0,45;1,945496;-0,967831666667;-4,14569490741
0,5;1,897476;-1,01451777778;0,0357820987654
0,55;1,82819;-0,892466944444;1,86739151235
0,6;1,7611335;-0,0909902777778;-8,29996481481
0,65;1,962646;-1,68279611111;-18,3621450617
0,7;1,58809;-3,18723222222;-6,80082191358
0,75;1,4997675;-2,2766625;4,24986527778
0,8;1,411102;-2,04761472222;3,58630848765
0,85;1,307173;-1,91927555556;1,38385679012
0,9;1,222452;-1,98835194444;-0,309441049383
0,95;1,107204;-2,04056416667;-0,0669591049383
1;1,0089345;-1,93795;-0,615812037037
1,05;0,9269575;-2,07105305556;-1,53376049383
1,1;0,8003905;-2,16642611111;-1,15958348765
1,15;0,707266;-2,21911472222;0,227766820988
1,2;0,5712665;-2,15718416667;3,68846743827
1,25;0,4978645;-2,13755694444;16,2294578704
1,3;0,363923;-1,41163555556;43,2527763889
1,35;0,238042;1,56979666667;72,4074058642
1,4;0,2265515;8,96992638889;41,7723714506
1,45;1,5388695;8,88836861111;-42,1756611111
1,5;1,510229;1,66431222222;-68,9723773148
1,55;1,4973665;-2,04227916667;-21,1579126543
1,6;1,0319155;-0,741070555556;35,000450463
1,65;1,191239;4,92833833333;30,8481708025
1,7;1,898162;4,41421944444;-13,1668701543
1,75;1,796291;0,903900277778;-15,2797289815
1,8;1,688246;1,95487133333;0,299616851852
1,85;2,028502;2,38947138889;-3,3286562037
1,9;2,036391;1,50615111111;-9,65976925926
