"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,922858;0,0106711111111;-0,484942716049
0,1;1,9237155;-0,00809861111111;-0,611863302469
0,15;1,923887;-0,039788;-0,800968518519
0,2;1,9216575;-0,1054725;-0,765112314815
0,25;1,910167;-0,111093888889;-1,04568419753
0,3;1,9103385;-0,156065;-2,35523490741
0,35;1,8966185;-0,280878888889;-4,08027083333
0,4;1,907423;-0,711725;-3,30253950617
0,45;1,80761;-0,932388333333;2,76506697531
0,5;1,749986;0,0148633333333;1,2648125
0,55;1,911196;-0,704865;-3,78845617284
0,6;1,60524;-0,446281111111;-8,20447530864
0,65;1,8976475;-0,848258055556;-21,8618037037
0,7;1,6712675;-3,63303694444;-16,9664314815
0,75;1,362396;-3,46620555556;3,90008996914
0,8;1,275274;-2,37155916667;10,7029233025
0,85;1,178891;-1,90708;7,74386018519
0,9;1,086281;-1,60295333333;2,68868595679
0,95;1,0353455;-1,70537694444;-1,1191962963
1;0,920612;-1,89402694444;-1,2434808642
1,05;0,8329755;-1,874495;-0,235759567901
1,1;0,734363;-1,864205;0,0687587962963
1,15;0,6467265;-1,83952805556;0,0727287037037
1,2;0,554288;-1,89326472222;1,82906867284
1,25;0,4549895;-1,89860027778;11,2272157407
1,3;0,3640945;-1,42926194444;34,8955390432
1,35;0,2615375;0,644649444444;70,1184631173
1,4;0,184191;6,71622583333;76,9676649691
1,45;0,925414;12,2547230556;12,5642276235
1,5;1,922515;8,55060888889;-62,3345862654
1,55;1,894046;2,21292166667;-69,3551822531
1,6;1,8801545;-0,0279163888889;-39,9368979938
1,65;1,847055;-0,948966666667;-18,5358946759
1,7;1,7837715;-1,30530555556;-8,68062600309
1,75;1,714314;-1,606955;-5,83031717593
1,8;1,621018;-1,85786902778;-4,38849444444
1,85;1,5165745;-2,00045222222;-3,50987453704
