"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,7323215;0,0504972222222;-0,388045216049
0,1;1,73558;0,0316798611111;-0,384895756173
0,15;1,7364375;0,00914666666667;-0,352924768519
0,2;1,7360945;-0,00533555555556;-0,343979243827
0,25;1,73558;-0,0143869444444;-0,707252237654
0,3;1,7340365;-0,0390638888889;-1,84145478395
0,35;1,7350655;-0,144631666667;-3,8031712963
0,4;1,7323215;-0,476484166667;-4,60599243827
0,45;1,682072;-0,719823611111;-3,23769768519
0,5;1,6517165;-0,797951388889;-1,78111219136
0,55;1,60181;-0,851783333333;-1,17969768519
0,6;1,5635655;-0,852259722222;-1,6076537037
0,65;1,527379;-1,03566944444;-1,30170617284
0,7;1,4565495;-1,1636275;3,11537160494
0,75;1,4033845;-0,861596944444;8,56181990741
0,8;1,345932;-0,309271666667;11,0559804012
0,85;1,2761315;1,56026888889;-8,21082716049
0,9;1,761991;-0,918001388889;-29,4184959877
0,95;1,1996425;-3,66857555556;-11,3143419753
1;1,1317285;-2,04361305556;8,6823462963
1,05;1,0819935;-1,55226555556;8,46691265432
1,1;0,9972725;-1,20697888889;5,32766867284
1,15;0,9506245;-0,991365277778;0,114174537037
1,2;0,925071;-1,23889694444;-3,3912537037
1,25;0,829374;-1,54102277778;-2,872625
1,3;0,754943;-1,58456472222;-0,876396759259
1,35;0,670222;-1,57684722222;0,501849228395
1,4;0,595791;-1,51024805556;1,30911666667
1,45;0,518616;-1,43240611111;1,67170154321
1,5;0,451388;-1,33026833333;1,76459737654
1,55;0,3860465;-1,24747194444;1,92773410494
1,6;0,3287655;-1,18344527778;3,87103024691
1,65;0,269941;-1,04538777778;10,206949537
1,7;0,199969;-0,522789166667;26,0468800926
1,75;0,187621;1,29425333333;46,1976007716
1,8;0,324135;3,47116;68,3740328704
1,85;0,1997975;10,6163263889;42,156817284
1,9;1,751358;11,0415511111;-41,2070566358
1,95;1,7542735;3,43619305556;-71,4441687037
2;1,764392;0,800142777778;-43,5539176852
2,05;1,751358;-0,244196944444;-18,6198502778
2,1;1,737295;-0,374098666667;-5,31017990741
2,15;1,708483;-0,410266111111;-1,20703182099
2,2;1,693048;-0,366628888889;0,325235987654
