"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,767479;0,0844161111111;-1,31842212963
0,1;1,7741675;0,0197701388889;-1,31330888889
0,15;1,7727955;-0,0533365;-1,25977865741
0,2;1,7673075;-0,107092222222;-1,29563486111
0,25;1,7597615;-0,15435;-1,69340899691
0,3;1,758218;-0,256868888889;-2,54075132716
0,35;1,7398675;-0,508688055556;-1,89772160494
0,4;1,676927;-0,314321388889;-2,45403796296
0,45;1,760619;-0,815958888889;-1,74781790123
0,5;1,5807155;-1,02109194444;5,85767777778
0,55;1,539727;0,486488333333;1,17848024691
0,6;1,755817;-0,0275352777778;-17,5858429012
0,65;1,65326;-2,54725138889;-15,8554396605
0,7;1,2987695;-1,94118944444;-6,88895385802
0,75;1,5350965;-2,40652611111;-9,07737854938
0,8;1,122982;-3,6589525;1,49792546296
0,85;1,0075625;-2,28590444444;11,1663438272
0,9;0,94325;-1,69099;6,70337391975
0,95;0,88151;-1,68717888889;2,21547299383
1;0,762489;-1,71147472222;1,50369506173
1,05;0,707266;-1,57141638889;1,84574228395
1,1;0,6137985;-1,63020277778;3,24082067901
1,15;0,4834585;-0,8034775;-1,39687808642
1,2;0,6470695;-1,75120555556;-3,81830987654
1,25;0,307671;-2,64595916667;22,4055222222
1,3;0,2155755;0,0867980555556;55,813616358
1,35;0,3318525;2,98695833333;79,7133587963
1,4;0,189336;10,7863972222;49,1556052469
1,45;1,795262;11,3519661111;-41,3341466049
1,5;1,796977;3,44267194444;-75,6101683642
1,55;1,808296;0,481438611111;-47,5232322531
1,6;1,751015;-0,704579166667;-20,6572279321
1,65;1,726319;-0,803668055556;-6,3369779321
1,7;1,6764125;-0,963258333333;-2,38993719136
1,75;1,626506;-1,04729333333;0,765451080247
1,8;1,567167;-1,04958;8,52032114198
1,85;1,524292;-0,592818333333;22,7300489198
1,9;1,4551775;0,817578611111;39,5882342593
1,95;1,420706;5,10012416667;24,7241069444
2;2,234645;4,70414972222;-15,0623580247
2,05;2,0279875;1,71385666667;-23,5483791667
2,1;2,2210965;1,5546475;-16,084985
2,15;2,228471;0,560138055556;-12,3121385031
2,2;2,238761;0,395974444444;-6,96819320988
