"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;2,02027;0,0438277777778;0,216545216049
0,1;2,0228425;0,0463526388889;0,361711496914
0,15;2,0224995;0,0783183333333;0,359975324074
0,2;2,029874;0,112523055556;-0,136803009259
0,25;2,0369055;0,0877508333333;-1,01087075617
0,3;2,0434225;-0,022295;-1,2650242284
0,35;2,0314175;-0,0813672222222;-0,706008333333
0,4;2,0321035;-0,0807955555556;-0,245975462963
0,45;2,025072;-0,0967069444444;0,0558433641975
0,5;2,0207845;-0,0784136111111;0,281439969136
0,55;2,016497;-0,0485916666667;-0,0141328703704
0,6;2,0159825;-0,0415411111111;-0,997293672839
0,65;2,015811;-0,125576111111;-1,86405679012
0,7;2,0156395;-0,351479722222;-0,353057098765
0,75;1,971907;-0,379777222222;4,20354969136
0,8;1,9316045;0,349288333333;2,71573425926
0,85;2,0321035;0,431227222222;-7,61708780864
0,9;2,039821;-0,452474166667;-17,1985916667
0,95;2,030217;-2,23331111111;-11,6397155864
1;1,64297;-1,28577361111;-9,51645030864
1,05;2,0403355;-2,45121138889;-17,670904784
1,1;1,4586075;-4,45518888889;-2,85875679012
1,15;1,370285;-2,72913666667;11,3978688272
1,2;1,266699;-2,24788861111;8,00222175926
1,25;1,1701445;-1,99140083333;3,68698533951
1,3;1,0682735;-2,01474388889;0,489516049383
1,35;0,9664025;-2,00816972222;-0,641537037037
1,4;0,871563;-2,07981861111;-1,23003611111
1,45;0,762832;-2,20129777778;-0,348028549383
1,5;0,6443255;-2,18729194444;1,70748364198
1,55;0,5304495;-1,94966916667;3,12299382716
1,6;0,458934;-1,84943694444;6,42648611111
1,65;0,3586065;-1,89050166667;24,8095393519
1,7;0,2433585;-0,431513055556;60,6188981481
1,75;0,1833335;3,56653305556;95,9881265432
1,8;0,22295;13,1599572222;55,998508179
1,85;2,039135;13,0228525;-50,7296894136
1,9;2,0207845;3,86589583333;-84,7798552006
1,95;2,012038;0,907711388889;-49,281938287
2;2,017869;-0,1219365;-20,7262355093
2,05;2,001062;-0,155255138889;-5,61759365741
2,1;1,997289;-0,122717777778;-0,822151944444
