"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,989743;0,0398261111111;0,115444907407
0,1;1,9912865;0,0486393055556;-0,0180233796296
0,15;1,994202;0,05145;-0,259361990741
0,2;1,998318;0,0295361111111;-0,677292669753
0,25;1,9984895;-0,0241052777778;-1,16146257716
0,3;1,9923155;-0,0461144444444;-2,41947330247
0,35;2,0012335;-0,215041944444;-4,43867407407
0,4;1,980825;-0,5616625;-4,98408641975
0,45;1,938979;-0,811576111111;-3,47144583333
0,5;1,8931885;-0,957732222222;-0,215063117284
0,55;1,8451685;-0,8918;3,00828996914
0,6;1,788402;-0,699815277778;4,6131912037
0,65;1,698879;0,534317777778;-9,5138566358
0,7;2,0389635;-1,50567472222;-24,6288291667
0,75;1,558592;-3,69906444444;-9,40608688272
0,8;1,4596365;-2,40814583333;6,46030972222
0,85;1,3838335;-1,99826083333;5,2263566358
0,9;1,2891655;-1,91079583333;2,27359243827
0,95;1,186437;-1,92899388889;0,793399228395
1;1,092798;-1,88459444444;0,877031944444
1,05;0,9962435;-1,80065472222;0,437377932099
1,1;0,917525;-1,80865805556;-0,536466820988
1,15;0,8182265;-1,88106916667;-0,930599228395
1,2;0,7300755;-1,95071722222;-0,332360648148
1,25;0,621173;-1,97253583333;1,24480416667
1,3;0,5191305;-1,76549722222;2,41238040123
1,35;0,4536175;-1,70518638889;5,32682175926
1,4;0,3592925;-1,76263888889;22,4333115741
1,45;0,26068;-0,509164444444;56,9620311728
1,5;0,180761;3,22172277778;93,2439148148
1,55;0,199969;12,6815675;56,4473723765
1,6;1,9703635;12,7466422222;-47,5659484568
1,65;1,9659045;3,88942944444;-82,2979802469
1,7;1,964018;0,922574722222;-48,6187890741
1,75;1,9614455;-0,101185;-19,4268583488
1,8;1,954414;-0,149776666667;-4,77331609568
1,85;1,948583;-0,227466166667;-1,1204825463
1,9;1,926631;-0,219853472222;0,436986234568
1,95;1,92423;-0,138724444444;1,11937626543
