"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;2,009294;0,346811111111;-3,46276496914
0,1;2,0341615;0,170118472222;-3,1360945216
0,15;2,0351905;-0,0280116666667;-2,32777902778
0,2;2,019927;-0,0549752777778;-1,68030300926
0,25;2,0297025;-0,0961352777778;-2,64276736111
0,3;2,023014;-0,349288333333;-2,85658657407
0,35;1,993173;-0,506401388889;-1,25438487654
0,4;1,9593875;-0,502876111111;0,358509104938
0,45;1,9168555;-0,13377;-2,74542916667
0,5;2,019584;-0,817673888889;-5,24424768519
0,55;1,821673;-1,39934472222;4,21985277778
0,6;1,7549595;0,220949166667;2,8509757716
0,65;1,9912865;-0,727350555556;-6,48349398148
0,7;1,5988945;-0,474006944444;-14,7721313272
0,75;2,050111;-2,08096194444;-23,0812533951
0,8;1,429624;-4,18850638889;-6,24577592593
0,85;1,4150465;-2,57831194444;8,78323487654
0,9;1,2613825;-2,34192777778;7,51487592593
0,95;1,1800915;-1,88983472222;5,17649459877
1;1,082165;-1,85677333333;2,17683256173
1,05;0,991613;-1,74567944444;1,03042916667
1,1;0,9111795;-1,73510361111;-0,395826234568
1,15;0,81977;-1,77788333333;-1,64063040123
1,2;0,7389935;-1,91803694444;-2,2681404321
1,25;0,6330065;-2,12869611111;-0,361737962963
1,3;0,5074685;-2,01445805556;3,50791604938
1,35;0,431151;-1,83295388889;10,1969983025
1,4;0,3291085;-1,35323027778;22,6869092593
1,45;0,2401;0,180265555556;35,9270268519
1,5;0,223636;3,558625;24,4906234568
1,55;0,7681485;3,86951638889;-7,87460246914
1,6;0,7702065;1,34008194444;-14,9295513889
1,65;0,7609455;0,966974166667;6,09052608025
1,7;0,812567;2,07924694444;27,168828858
1,75;0,9502815;3,86808722222;39,7003179784
1,8;1,036546;7,87337444444;16,0142624228
1,85;2,0077505;7,06351333333;-34,9606719907
1,9;1,9765375;2,36388930556;-54,5882912037
1,95;1,923887;0,179884444444;-53,333800463
