"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;2,0564565;-0,0966116666667;-0,117699814815
0,1;2,053198;-0,120335833333;0,466575277778
0,15;2,042908;-0,0940963333333;1,31480157407
0,2;2,039478;0,00343;2,12233367284
0,25;2,0386205;0,181408888889;1,59589219136
0,3;2,062802;0,252295555556;-0,809247098765
0,35;2,072406;0,126147777778;-3,73404197531
0,4;2,081324;-0,148252222222;-5,77340987654
0,45;2,0674325;-0,598344444444;-4,51632546296
0,5;2,01341;-0,773655555556;-0,811025617284
0,55;1,964704;-0,612445555556;0,556422222222
0,6;1,920114;-0,0326802777778;-9,24983132716
0,65;2,0880125;-1,55350416667;-18,0554035494
0,7;1,756846;-2,94999055556;-7,70664891975
0,75;1,6685235;-2,24950833333;2,36717638889
0,8;1,575056;-2,10640111111;2,44689212963
0,85;1,465296;-1,99921361111;0,949707716049
0,9;1,3752585;-2,02693944444;-0,936898148148
0,95;1,2703005;-2,17090416667;-1,05805972222
1;1,151108;-2,19148416667;-0,0697645061728
1,05;1,046836;-2,13546083333;0,22596712963
1,1;0,940163;-2,12126444444;-0,360202932099
1,15;0,8370915;-2,16080472222;-1,07515679012
1,2;0,729561;-2,28247444444;-0,141699228395
1,25;0,604366;-2,31820361111;5,28950462963
1,3;0,4844875;-2,12764805556;22,8334782407
1,35;0,399938;-0,954778611111;56,2703674383
1,4;0,2845185;2,38832805556;97,5998560185
1,45;0,1823045;12,6562236111;65,5298853395
1,5;2,076865;13,4371202778;-44,2143408951
1,55;2,0849255;4,16821222222;-84,6110070988
1,6;2,079609;1,01804305556;-50,6875660494
1,65;2,077894;-0,0376347222222;-20,4620990432
1,7;2,075836;-0,0582147222222;-6,16194736111
1,75;2,0811525;-0,242767777778;-3,96206816358
1,8;2,0543985;-0,475398;-3,23834875
1,85;2,026444;-0,596772361111;-2,5258191821
1,9;1,9899145;-0,681617222222;-2,02345651235
