"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,993516;0,0552611111111;-0,328030802469
0,1;1,996603;0,0427797222222;-0,366306003086
0,15;1,9998615;0,0116048333333;-0,282752685185
0,2;1,9964315;0,00333472222222;-0,0188014814815
0,25;1,999004;0,0161019444444;0,143107222222
0,3;1,9984895;0,0248675;0,164523549383
0,35;2,0015765;0,0346811111111;0,0795040123457
0,4;2,0019195;0,0373488888889;-0,135664969136
0,45;2,0050065;0,0384922222222;-0,612000925926
0,5;2,00998;-0,0330613888889;-0,847125308642
0,55;2,0008905;-0,0886083333333;-0,268101080247
0,6;1,997289;-0,0731733333333;0,641484104938
0,65;1,9930015;-0,0146727777778;1,1789037037
0,7;1,9926585;0,0752694444444;0,802556481481
0,75;1,99626;0,202751111111;-1,92783996914
0,8;2,039135;-0,121098055556;-4,56385848765
0,85;1,981511;-0,4570475;-3,33249907407
0,9;1,978424;-0,448853611111;-2,27491574074
0,95;1,9504695;-0,719061388889;-1,48744490741
1;1,8537435;-0,207991388889;-7,02837700617
1,05;2,0238715;-1,27329222222;-14,1866493827
1,1;1,7398675;-2,51752472222;-5,89594768519
1,15;1,662178;-1,91403527778;3,90390108025
1,2;1,5762565;-1,61410083333;5,18655169753
1,25;1,5066275;-1,34675138889;4,28802932099
1,3;1,432711;-1,09140694444;1,93218040123
1,35;1,439914;-1,3214075;1,80318487654
1,4;1,2744165;-1,28120027778;5,95020308642
1,45;1,203587;0,337092777778;-6,76646898148
1,5;1,531495;-1,71176055556;-22,0698268519
1,55;1,031058;-3,7018275;-6,4096537037
1,6;0,9523395;-2,25474861111;8,74761157407
1,65;0,877737;-1,77616833333;6,85354228395
1,7;0,8010765;-1,59190111111;3,02787484568
1,75;0,716184;-1,60771722222;0,366978240741
1,8;0,640381;-1,62334277778;-0,293508487654
1,85;0,5554885;-1,66193027778;0,406359722222
1,9;0,4714535;-1,65392694444;4,49732283951
1,95;0,3908485;-1,63048861111;21,0518896605
2;0,305956;-0,516881944444;53,9969337963
2,05;0,2241505;2,88510638889;91,6115947531
2,1;0,188993;12,3955436111;58,1157921296
2,15;1,9727645;12,7437838889;-45,3527515432
2,2;1,971564;3,91229611111;-81,2648515432
2,25;1,968477;0,962305555556;-48,0899550617
2,3;1,9686485;-0,0342047222222;-19,3034259877
2,35;1,9659045;-0,0690763888889;-5,47457641975
2,4;1,9679625;-0,209287166667;-2,98041592593
2,45;1,945153;-0,355195555556;-2,10410915123
2,5;1,9233725;-0,413696111111;-1,64927950617
